Kreis70
Date:,2025/04/24
Time:,15:52:58
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,1097.989624,826.004761,184.405258,812.952332,790.061890,33.956089,1141.297852,775.826355,358.090363,946.406616,783.574341,59.060265,864.965454,737.944580,32.523323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1098.004395,826.010559,184.386047,812.937439,790.081787,33.907898,1141.313354,775.784729,358.059662,946.402527,783.565613,59.035946,864.970215,737.944946,32.518372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1098.054932,825.995605,184.356918,812.934143,790.091553,33.945183,1141.310791,775.725586,358.053650,946.427551,783.563782,58.987606,864.968872,737.944763,32.518906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1098.157837,825.977722,184.365753,812.977173,790.159180,33.957268,1141.363770,775.690674,358.014557,946.461426,783.673523,58.984001,864.967041,737.944458,32.520798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1098.183350,826.049805,184.319656,812.940796,790.088257,34.004349,1141.433350,775.684387,357.957581,946.449341,783.610413,59.002132,864.964600,737.939941,32.514965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1098.246704,826.009277,184.321777,812.936707,790.155396,33.942707,1141.442383,775.639160,357.943970,946.434265,783.563416,58.985855,864.966736,737.943237,32.519146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1098.290527,825.889465,184.301941,812.971741,790.095398,33.937862,1141.451538,775.655579,357.937347,946.440613,783.557800,58.959423,865.004211,737.960693,32.501099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1098.276978,825.963745,184.233063,812.994507,790.067627,33.942955,1141.501343,775.561890,357.941071,946.443054,783.574890,59.016769,865.020691,737.967346,32.485935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1098.355713,825.913025,184.144165,813.020020,790.058044,33.934952,1141.446167,775.526062,357.935486,946.487061,783.577209,58.979263,865.012512,737.950317,32.478481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1098.415161,825.960938,184.114105,812.967651,790.084045,33.981346,1141.492065,775.535217,357.902466,946.519043,783.586243,58.938908,865.014465,737.960205,32.487316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1098.513916,825.853638,184.165924,812.941162,790.107544,33.959270,1141.546875,775.536316,357.922028,946.528625,783.592102,58.925480,865.015015,737.965576,32.490894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1098.564819,825.838318,184.165009,813.004700,790.069519,33.938473,1141.583740,775.484009,357.848816,946.563171,783.578186,58.975536,865.032532,737.953247,32.441105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1098.618652,825.822021,184.062668,813.029358,789.998718,33.916527,1141.518066,775.457336,357.782257,946.561584,783.569153,58.997589,865.046021,737.951782,32.416424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1098.765625,825.736145,184.022949,813.029419,790.044922,33.924313,1141.560303,775.388855,357.767609,946.554199,783.567322,59.000603,865.047791,737.953308,32.415550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1098.821045,825.658203,184.026855,813.075195,790.066162,33.873310,1141.559448,775.378906,357.762604,946.553467,783.568481,58.997990,865.046204,737.957581,32.427990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1098.817993,825.675415,183.942047,812.992371,790.073242,33.845875,1141.606812,775.319031,357.755829,946.555786,783.569824,58.995159,865.024109,737.966125,32.476646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1098.909058,825.628967,183.905167,812.996338,789.983765,33.885189,1141.601685,775.255615,357.750000,946.510803,783.583252,58.940441,865.010315,737.965332,32.498314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1098.713257,825.473389,183.500626,812.933899,790.045410,33.961246,1141.672852,775.239258,357.749725,946.551025,783.576477,58.977436,865.027222,737.951294,32.448410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1098.945679,825.365173,183.651855,812.925842,790.059692,33.947483,1141.677734,775.145386,357.687805,946.561707,783.570374,58.995377,864.989685,737.947327,32.488483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1099.161133,825.225647,183.590195,813.025269,790.070374,33.851128,1141.710449,775.122498,357.650146,946.557678,783.568848,58.997505,865.000732,737.959961,32.503521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1099.269897,825.181335,183.478226,813.004028,790.084412,33.943756,1141.675781,775.040405,357.640594,946.516907,783.581909,58.950974,865.012634,737.965210,32.496201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1099.110474,825.082886,183.197708,812.929810,790.041504,33.925823,1141.709717,774.915161,357.628510,946.551025,783.575623,58.980804,865.034607,737.953369,32.439251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1098.974976,825.020813,183.091064,812.872620,790.072815,33.979076,1141.795532,774.847595,357.570679,946.560791,783.570251,58.995178,865.030334,737.964722,32.463371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1099.089844,824.986633,183.072266,812.951050,790.071411,33.932217,1141.786865,774.785339,357.551208,946.554260,783.575073,59.049107,865.025391,737.914246,32.558456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1099.143799,824.902710,183.011017,812.987244,790.067627,33.863834,1141.773071,774.725830,357.545837,946.539795,783.571289,59.073143,864.462830,737.897034,33.195145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1099.190430,824.826843,182.918076,812.972717,790.077576,33.888275,1141.729614,774.622498,357.480103,946.538696,783.562866,59.022388,864.749878,737.920166,32.852306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1099.100952,824.886780,182.903732,812.922180,790.067688,33.930630,1141.836792,774.558289,357.465332,946.548584,783.676086,59.057354,865.018066,737.960510,32.493492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1099.016235,824.880127,182.991577,812.930115,790.054565,33.936653,1141.871094,774.453674,357.461456,946.595459,783.693970,59.124119,865.115356,737.981079,32.515095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1099.058716,824.814880,183.007004,812.950806,790.073975,33.919613,1141.608276,774.500854,357.275208,946.605347,783.679810,59.148968,865.049438,737.969116,32.485786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1099.167603,824.857544,182.899338,812.954834,790.049438,33.987072,1141.583374,774.438965,357.228729,946.599609,783.672119,59.150486,864.952698,737.946228,32.645138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1099.109619,824.927185,182.853317,812.932922,790.049316,33.916176,1141.634766,774.402710,357.148926,946.637695,783.659973,59.194431,864.844971,737.913879,32.835945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1099.124878,824.928284,182.812012,812.966187,790.080750,33.973087,1141.441650,774.364807,357.338776,946.859314,783.720825,59.321598,864.967957,737.807129,32.694401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1099.244873,824.922241,182.803406,812.996521,790.047913,33.936127,1141.713135,774.273132,357.019318,946.958862,783.743225,59.314693,865.106628,737.898193,32.536270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1099.384399,824.919312,182.749252,812.914429,790.068970,33.964279,1141.830933,774.255432,356.905334,946.970459,783.747253,59.384949,865.072388,737.853333,32.552353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1099.298584,824.974182,182.665222,812.962769,790.076477,34.019066,1141.973755,774.152771,356.806091,946.981995,783.721069,59.382317,865.075745,737.881226,32.662991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1099.438843,825.093506,182.758728,813.013489,790.043335,34.140694,1141.960571,774.165161,356.744293,946.982971,783.724365,59.443100,865.032349,737.855042,32.684986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1099.584351,825.210022,182.774612,812.972168,790.042725,34.060070,1141.997803,774.109253,356.583313,946.926270,783.833984,59.508453,865.071899,737.841675,32.769550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1099.665161,825.327393,182.753067,812.901855,790.152405,34.137554,1142.080811,774.052490,356.489105,946.991089,783.858459,59.550858,865.082581,737.747620,32.806602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1099.751709,825.398071,182.703857,812.961853,790.148682,34.354958,1142.195435,773.992432,356.345215,947.087402,783.921143,59.590664,865.148376,737.583618,32.802349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1099.880737,825.459290,182.695190,812.861694,790.296936,34.447712,1142.232666,773.976440,356.231476,947.180603,784.041138,59.704796,865.206421,737.552551,32.923561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1099.919067,825.465393,182.685760,812.898315,790.324463,34.684254,1142.286499,773.978516,356.155365,947.169434,784.178833,59.739597,864.631958,737.498169,33.824142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1099.417480,825.767700,182.832428,813.045532,790.467407,34.848766,1142.376221,773.882202,356.076477,947.176697,784.328918,60.060860,864.982422,737.382935,33.450569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1099.643433,825.911438,182.714981,813.219055,790.594666,35.362846,1142.425293,773.862427,356.000031,947.132446,784.532104,60.433605,865.321106,737.320435,33.193253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1099.904541,825.994446,182.432404,813.467285,790.624023,36.017902,1142.581909,773.847473,355.907410,947.084412,784.656372,60.794014,865.385071,737.192383,33.244919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1100.082886,825.965576,182.361404,813.269348,790.814880,36.855915,1142.604004,773.795837,355.753052,947.146423,784.844421,61.087162,865.401672,737.069702,33.572639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1100.244873,826.117249,182.253098,813.067078,791.048157,37.791790,1142.642212,773.746094,355.676575,947.288330,785.160278,61.328655,865.513123,736.846558,34.028324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1100.428589,826.228943,182.160980,812.795593,791.047546,39.440578,1142.717529,773.686523,355.600281,947.444092,785.636230,61.556705,865.687927,736.488159,34.877647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1100.664429,826.165161,182.043976,813.101196,790.931580,41.151909,1142.787231,773.667297,355.550598,947.546204,785.922302,61.797916,865.881714,736.133789,36.152676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1101.045898,826.156311,181.847275,813.325134,790.947815,42.549549,1142.903320,773.644958,355.499695,947.612122,786.214905,62.110832,866.279480,735.664917,37.756966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1101.581299,826.388428,181.585815,813.214539,791.051697,43.919228,1142.961182,773.610229,355.315369,947.756592,786.435974,62.384457,866.744263,735.036743,39.059238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1102.046753,826.590576,181.392471,813.313049,791.142944,45.884766,1143.028076,773.536133,355.234009,947.973206,786.642334,62.682713,867.361938,734.421448,40.209881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1102.772583,826.668213,180.875366,813.421631,791.103821,47.452999,1143.218872,773.451843,355.129700,948.184753,786.846008,62.988235,867.884644,733.713013,41.222633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1103.664917,826.428101,180.805862,813.668457,791.046753,48.379704,1143.373779,773.389771,355.123260,948.582153,787.000427,63.450764,868.407166,733.074219,42.588539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
