Kreis71
Date:,2025/04/24
Time:,15:53:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,815.059265,475.702637,28.123152,754.696716,532.384399,29.655369,1099.404419,587.981628,343.092560,887.373657,533.731079,55.554699,1026.395630,605.632324,181.748428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,815.014404,475.739349,28.152067,754.633118,532.377014,29.650574,1099.401611,589.590881,343.023865,887.392334,533.758911,55.526630,1026.260498,606.070679,181.792160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,814.971863,475.718445,28.154455,754.633179,532.394226,29.661192,1098.985596,591.242676,343.111908,887.393982,533.754089,55.526253,1025.877441,606.680176,181.986633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,814.947083,475.734680,28.154020,754.597351,532.380493,29.685596,1098.151489,592.381042,343.068634,887.356750,533.757751,55.558132,1025.628784,607.226196,181.996262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,814.943298,475.738373,28.107489,754.586914,532.372437,29.673536,1097.574097,591.634644,342.756805,887.362305,533.753357,55.593906,1025.278809,607.878052,181.793900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,814.978210,475.708832,28.167763,754.591248,532.375671,29.687201,1097.233154,592.093201,342.451477,887.442932,533.804199,55.558147,1024.946167,608.551758,181.645752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,814.938354,475.721008,28.123224,754.473755,532.405518,29.662546,1096.889038,593.430847,342.479431,887.481689,533.766052,55.580753,1024.538208,609.146240,181.458527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,814.873108,475.723328,28.091282,754.457825,532.406555,29.662600,1096.768921,594.443726,342.457703,887.465576,533.774902,55.665199,1024.350830,609.542114,181.304749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,814.915527,475.713745,28.107525,754.458130,532.387207,29.668015,1096.953613,594.528076,342.038544,887.371643,533.757813,55.713345,1024.222778,609.888245,181.233063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,814.949951,475.688232,28.197273,754.446167,532.376526,29.676767,1096.685669,594.044434,341.671204,887.327454,533.739380,55.738144,1024.066650,610.198730,181.171387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
