;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
10;837.210266;473.967224;28.300268;1045.554077;612.999756;175.582031;780.916748;520.611328;29.915251;914.718994;522.754150;58.631481;1096.257935;593.754456;331.313751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;837.177979;473.864288;28.321150;1045.603394;613.179932;175.574844;780.931763;520.698792;29.898436;914.756470;522.781982;58.698948;1096.221924;593.808228;331.252838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;837.170471;473.852844;28.306726;1045.664673;613.347229;175.523880;780.951843;520.739014;29.914063;914.812195;522.855896;58.792385;1096.267212;593.831909;331.209778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;837.307373;473.916412;28.208855;1045.737427;613.664673;175.393494;781.033813;520.729797;29.949087;914.859253;522.894653;58.972862;1096.301025;593.726746;331.074677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;837.452576;473.833710;28.225084;1045.718384;614.089722;175.143433;781.142212;520.817749;29.940109;914.848572;523.000732;59.097187;1096.368896;593.733521;330.998260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;837.693542;473.741669;28.028536;1045.764282;614.599915;175.131546;781.299133;520.847046;30.002125;914.887634;523.153625;59.371174;1096.387939;593.775024;330.937653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;837.993896;473.518829;28.065487;1046.022217;615.020264;175.025681;781.317688;521.063110;29.571342;915.111206;523.359314;59.560654;1096.424194;593.887390;330.929993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;838.303589;473.387177;28.339537;1046.402954;615.531372;174.871826;781.646118;521.075989;30.016731;915.180603;523.602295;60.085808;1096.466309;594.039856;330.882629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;838.612122;473.046814;28.171673;1046.977905;615.861755;174.846741;782.043640;521.215515;30.289122;915.387390;523.910339;60.499832;1096.688721;594.181335;330.835999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;839.222717;472.642944;28.483217;1047.368774;616.202393;174.818909;782.463562;521.459778;30.525047;915.875732;524.220764;60.821049;1097.132690;594.328003;330.711212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
